[STAR]
cpr6dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N043.48.12.009 W105.48.30.084 N043.47.33.429 W105.46.53.879 RVM
                          N043.47.33.429 W105.46.53.879 N043.46.53.295 W105.45.18.909 RVM
                          N043.46.53.295 W105.45.18.909 N043.46.11.628 W105.43.45.224 RVM
                          N043.46.11.628 W105.43.45.224 N043.45.28.448 W105.42.12.870 RVM
                          N043.45.28.448 W105.42.12.870 N043.44.43.778 W105.40.41.894 RVM
                          N043.44.43.778 W105.40.41.894 N043.43.57.640 W105.39.12.340 RVM
                          N043.43.57.640 W105.39.12.340 N043.43.10.058 W105.37.44.255 RVM
                          N043.43.10.058 W105.37.44.255 N043.42.21.057 W105.36.17.681 RVM
                          N043.42.21.057 W105.36.17.681 N043.41.30.660 W105.34.52.662 RVM
                          N043.41.30.660 W105.34.52.662 N043.40.38.894 W105.33.29.239 RVM
                          N043.40.38.894 W105.33.29.239 N043.39.45.785 W105.32.07.455 RVM
                          N043.39.45.785 W105.32.07.455 N043.38.51.360 W105.30.47.348 RVM
                          N043.38.51.360 W105.30.47.348 N043.37.55.646 W105.29.28.960 RVM
                          N043.37.55.646 W105.29.28.960 N043.36.58.671 W105.28.12.327 RVM
                          N043.36.58.671 W105.28.12.327 N043.36.00.465 W105.26.57.488 RVM
                          N043.36.00.465 W105.26.57.488 N043.35.01.058 W105.25.44.478 RVM
                          N043.35.01.058 W105.25.44.478 N043.34.00.478 W105.24.33.334 RVM
                          N043.34.00.478 W105.24.33.334 N043.32.58.756 W105.23.24.090 RVM
                          N043.32.58.756 W105.23.24.090 N043.31.55.924 W105.22.16.779 RVM
                          N043.31.55.924 W105.22.16.779 N043.30.52.014 W105.21.11.433 RVM
                          N043.30.52.014 W105.21.11.433 N043.29.47.057 W105.20.08.083 RVM
                          N043.29.47.057 W105.20.08.083 N043.28.41.086 W105.19.06.761 RVM
                          N043.28.41.086 W105.19.06.761 N043.27.34.135 W105.18.07.493 RVM
                          N043.27.34.135 W105.18.07.493 N043.26.26.237 W105.17.10.310 RVM
                          N043.26.26.237 W105.17.10.310 N043.25.17.426 W105.16.15.236 RVM
                          N043.25.17.426 W105.16.15.236 N043.24.07.736 W105.15.22.299 RVM
                          N043.24.07.736 W105.15.22.299 N043.22.57.204 W105.14.31.522 RVM
                          N043.22.57.204 W105.14.31.522 N043.21.45.863 W105.13.42.929 RVM
                          N043.21.45.863 W105.13.42.929 N043.20.33.749 W105.12.56.541 RVM
                          N043.20.33.749 W105.12.56.541 N043.19.20.899 W105.12.12.381 RVM
                          N043.19.20.899 W105.12.12.381 N043.18.07.349 W105.11.30.468 RVM
                          N043.18.07.349 W105.11.30.468 N043.16.53.136 W105.10.50.819 RVM
                          N043.16.53.136 W105.10.50.819 N043.15.38.296 W105.10.13.454 RVM
                          N043.15.38.296 W105.10.13.454 N043.14.22.867 W105.09.38.388 RVM
                          N043.14.22.867 W105.09.38.388 N043.13.06.887 W105.09.05.636 RVM
                          N043.13.06.887 W105.09.05.636 N043.11.50.392 W105.08.35.212 RVM
                          N043.11.50.392 W105.08.35.212 N043.10.33.422 W105.08.07.129 RVM
                          N043.10.33.422 W105.08.07.129 N043.09.16.013 W105.07.41.398 RVM
                          N043.09.16.013 W105.07.41.398 N043.07.58.205 W105.07.18.030 RVM
                          N043.07.58.205 W105.07.18.030 N043.06.40.037 W105.06.57.033 RVM
                          N043.06.40.037 W105.06.57.033 N043.05.21.546 W105.06.38.416 RVM
                          N043.05.21.546 W105.06.38.416 N043.04.02.771 W105.06.22.185 RVM
                          N043.04.02.771 W105.06.22.185 N043.02.43.751 W105.06.08.345 RVM
                          N043.02.43.751 W105.06.08.345 N043.01.24.526 W105.05.56.901 RVM
                          N043.01.24.526 W105.05.56.901 N043.00.05.134 W105.05.47.856 RVM
                          N043.00.05.134 W105.05.47.856 N042.58.45.613 W105.05.41.212 RVM
                          N042.58.45.613 W105.05.41.212 N042.57.26.005 W105.05.36.969 RVM
                          N042.57.26.005 W105.05.36.969 N042.56.06.346 W105.05.35.127 RVM
                          N042.56.06.346 W105.05.35.127 N042.54.46.677 W105.05.35.685 RVM
                          N042.41.58.421 W105.11.40.457 N042.40.49.150 W105.05.20.593 RVM
                          N043.07.42.924 W107.43.21.605 N043.08.43.370 W107.49.47.006 RVM
                          N041.59.29.832 W106.44.30.524 N041.54.48.331 W106.45.56.100 RVM
                          N042.40.14.480 W105.08.21.690 N042.40.57.029 W105.08.06.672 RVM
                          N042.40.57.029 W105.08.06.672 N042.41.39.710 W105.07.52.354 RVM
                          N042.41.39.710 W105.07.52.354 N042.42.22.516 W105.07.38.739 RVM
                          N042.59.15.014 W105.33.08.922 N042.59.24.240 W105.31.06.301 RVM
                          N042.58.12.789 W105.32.56.344 N042.58.54.803 W105.33.00.769 RVM
