[STAR]
cpr7dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.49.47.285 W106.33.55.265 N042.49.45.966 W106.33.57.053 RVM
                          N042.49.46.295 W106.33.57.501 N042.49.45.306 W106.33.58.842 RVM
                          N042.49.47.614 W106.33.55.714 N042.49.46.295 W106.33.57.501 RVM
                          N042.49.46.624 W106.33.57.949 N042.49.45.635 W106.33.59.290 RVM
                          N042.49.47.943 W106.33.56.162 N042.49.46.624 W106.33.57.949 RVM
                          N042.49.47.282 W106.33.58.398 N042.49.45.963 W106.33.59.738 RVM
                          N042.49.48.272 W106.33.56.610 N042.49.47.282 W106.33.58.398 RVM
                          N042.49.47.611 W106.33.58.846 N042.49.46.622 W106.34.00.187 RVM
                          N042.49.48.601 W106.33.57.058 N042.49.47.611 W106.33.58.846 RVM
                          N042.49.47.940 W106.33.59.294 N042.49.47.280 W106.34.00.188 RVM
                          N042.49.48.600 W106.33.57.953 N042.49.47.940 W106.33.59.294 RVM
                          N042.49.25.971 W106.33.26.032 N042.49.25.136 W106.33.26.310 RVM
                          N042.49.25.136 W106.33.26.310 N042.49.24.492 W106.33.27.084 RVM
                          N042.49.24.492 W106.33.27.084 N042.49.24.186 W106.33.28.175 RVM
                          N042.49.24.186 W106.33.28.175 N042.49.24.289 W106.33.29.335 RVM
                          N042.49.24.289 W106.33.29.335 N042.49.24.776 W106.33.30.296 RVM
                          N042.49.24.776 W106.33.30.296 N042.49.25.537 W106.33.30.840 RVM
                          N042.49.25.537 W106.33.30.840 N042.49.26.396 W106.33.30.842 RVM
                          N042.49.26.396 W106.33.30.842 N042.49.27.158 W106.33.30.300 RVM
                          N042.49.27.158 W106.33.30.300 N042.49.27.647 W106.33.29.340 RVM
                          N042.49.27.647 W106.33.29.340 N042.49.27.752 W106.33.28.181 RVM
                          N042.49.27.752 W106.33.28.181 N042.49.27.448 W106.33.27.089 RVM
                          N042.49.27.448 W106.33.27.089 N042.49.26.805 W106.33.26.313 RVM
                          N042.49.26.805 W106.33.26.313 N042.49.25.971 W106.33.26.032 RVM
                          N042.49.25.971 W106.33.26.032 N042.49.25.971 W106.33.26.032 RVM
                          N042.49.24.915 W106.33.27.037 N042.49.24.256 W106.33.27.931 RVM
                          N042.49.25.575 W106.33.26.143 N042.49.24.915 W106.33.27.037 RVM
                          N042.49.25.244 W106.33.27.485 N042.49.24.255 W106.33.28.826 RVM
                          N042.49.26.234 W106.33.26.144 N042.49.25.244 W106.33.27.485 RVM
                          N042.49.25.573 W106.33.27.933 N042.49.24.254 W106.33.29.720 RVM
                          N042.49.26.892 W106.33.26.145 N042.49.25.573 W106.33.27.933 RVM
                          N042.49.25.902 W106.33.28.381 N042.49.24.583 W106.33.30.168 RVM
                          N042.49.27.221 W106.33.26.593 N042.49.25.902 W106.33.28.381 RVM
                          N042.49.26.231 W106.33.28.829 N042.49.25.241 W106.33.30.617 RVM
                          N042.49.27.550 W106.33.27.041 N042.49.26.231 W106.33.28.829 RVM
                          N042.49.26.560 W106.33.29.277 N042.49.25.571 W106.33.30.618 RVM
                          N042.49.27.879 W106.33.27.937 N042.49.26.560 W106.33.29.277 RVM
                          N042.49.26.889 W106.33.29.725 N042.49.26.229 W106.33.30.619 RVM
                          N042.49.27.878 W106.33.28.832 N042.49.26.889 W106.33.29.725 RVM
