[STAR]
cpr9dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.59.19.352 W106.42.17.565 N042.59.15.170 W106.42.09.876 RVM
                          N042.59.15.170 W106.42.09.876 N042.59.12.500 W106.42.01.024 RVM
                          N042.47.29.216 W106.01.32.972 N042.47.25.758 W106.01.33.704 RVM
                          N042.47.25.758 W106.01.33.704 N042.47.22.612 W106.01.35.788 RVM
                          N042.47.22.612 W106.01.35.788 N042.47.20.058 W106.01.39.038 RVM
                          N042.47.20.058 W106.01.39.038 N042.47.18.324 W106.01.43.166 RVM
                          N042.47.18.324 W106.01.43.166 N042.47.17.562 W106.01.47.804 RVM
                          N042.47.17.562 W106.01.47.804 N042.47.17.841 W106.01.52.541 RVM
                          N042.47.17.841 W106.01.52.541 N042.47.19.136 W106.01.56.956 RVM
                          N042.47.19.136 W106.01.56.956 N042.47.21.332 W106.02.00.657 RVM
                          N042.47.21.332 W106.02.00.657 N042.47.24.234 W106.02.03.314 RVM
                          N042.47.24.234 W106.02.03.314 N042.47.27.584 W106.02.04.692 RVM
                          N042.47.27.584 W106.02.04.692 N042.47.31.084 W106.02.04.669 RVM
                          N042.47.31.084 W106.02.04.669 N042.47.34.424 W106.02.03.245 RVM
                          N042.47.34.424 W106.02.03.245 N042.47.37.306 W106.02.00.548 RVM
                          N042.47.37.306 W106.02.00.548 N042.47.39.475 W106.01.56.818 RVM
                          N042.47.39.475 W106.01.56.818 N042.47.40.737 W106.01.52.385 RVM
                          N042.47.40.737 W106.01.52.385 N042.47.40.981 W106.01.47.643 RVM
                          N042.47.40.981 W106.01.47.643 N042.47.40.185 W106.01.43.015 RVM
                          N042.47.40.185 W106.01.43.015 N042.47.38.419 W106.01.38.911 RVM
                          N042.47.38.419 W106.01.38.911 N042.47.35.841 W106.01.35.696 RVM
                          N042.47.35.841 W106.01.35.696 N042.47.32.680 W106.01.33.656 RVM
                          N042.47.32.680 W106.01.33.656 N042.47.29.216 W106.01.32.972 RVM
                          N042.47.29.216 W106.01.32.972 N042.47.29.216 W106.01.32.972 RVM
                          N042.47.23.021 W106.01.12.966 N042.47.23.485 W106.01.22.484 RVM
                          N042.47.23.485 W106.01.22.484 N042.47.22.216 W106.01.31.866 RVM
                          N042.47.22.216 W106.01.31.866 N042.47.19.290 W106.01.40.538 RVM
                          N042.47.19.290 W106.01.40.538 N042.47.14.887 W106.01.47.971 RVM
                          N042.47.14.887 W106.01.47.971 N042.47.09.276 W106.01.53.710 RVM
                          N042.47.09.276 W106.01.53.710 N042.47.02.799 W106.01.57.405 RVM
                          N042.47.02.799 W106.01.57.405 N042.47.02.799 W106.01.57.405 RVM
                          N042.47.02.799 W106.01.57.405 N042.47.09.809 W106.01.56.776 RVM
                          N042.47.09.809 W106.01.56.776 N042.47.16.719 W106.01.58.500 RVM
                          N042.47.16.719 W106.01.58.500 N042.47.23.106 W106.02.02.473 RVM
                          N042.47.23.106 W106.02.02.473 N042.47.28.580 W106.02.08.452 RVM
                          N042.47.28.580 W106.02.08.452 N042.47.32.807 W106.02.16.071 RVM
